Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy,Period End,Property Type,Region
,,,7667,7.60%,17.80%,26693,-4.20%,-18.10%,51,-1,-27,$169K,-0.50%,5.70%,8286,-7.30%,8.00%,8/31/2012,All Residential,"Dallas-Fort Worth, TX metro area"
0.968514089,-0.10%,0.70%,6481,3.40%,19.00%,24423,-3.60%,-19.90%,51,-1,-23,$166K,-2.40%,3.40%,7285,-4.60%,2.90%,8/31/2012,All Residential,"Houston, TX metro area"
0.990878446,-0.10%,1.30%,8080,12.70%,21.00%,15896,-9.90%,-48.60%,37,-2,-19,$336K,0.40%,6.70%,7430,-3.00%,-18.30%,8/31/2012,All Residential,"Los Angeles, CA metro area"
0.964086533,0.00%,0.80%,3031,13.40%,5.40%,,,,,,,$160K,0.00%,10.30%,,,,8/31/2012,All Residential,"Miami, FL metro area"
0.973533841,0.30%,1.10%,3257,9.70%,9.80%,17407,-2.40%,-4.20%,111,6,-15,$124K,-0.80%,7.80%,3763,5.90%,3.80%,8/31/2012,All Residential,"Orlando, FL metro area"
0.951433492,-0.10%,0.40%,3876,3.20%,18.10%,21207,-3.60%,29.40%,71,5,-38,$230K,-0.90%,2.20%,4455,0.40%,41.20%,8/31/2012,All Residential,"Philadelphia, PA metro area"
1.021760681,0.40%,3.90%,1542,3.70%,18.30%,2457,-4.20%,-43.60%,19,2,-15,$703K,-1.60%,9.80%,1499,-2.80%,-3.60%,8/31/2012,All Residential,"San Francisco, CA metro area"
1.018894937,-0.20%,2.90%,1578,2.40%,-0.50%,2033,-6.40%,-53.00%,14,0,-16,$585K,-0.20%,18.90%,1601,-2.50%,-8.60%,8/31/2012,All Residential,"San Jose, CA metro area"
0.989974878,-0.10%,1.70%,3818,6.40%,20.60%,9335,0.00%,-37.20%,31,2,-25,$312K,0.80%,10.40%,3987,0.70%,1.30%,8/31/2012,All Residential,"Seattle, WA metro area"
0.982505605,-0.30%,0.40%,6898,9.50%,6.30%,17254,-3.30%,-27.10%,34,5,-11,$343K,-4.60%,5.70%,6899,1.50%,2.40%,8/31/2012,All Residential,"Washington, DC metro area"
0.946921858,-0.10%,0.40%,2510,2.60%,-5.00%,13592,-2.00%,-12.10%,84,0,-12,$140K,0.90%,16.10%,2753,0.00%,-5.10%,8/31/2012,All Residential,"West Palm Beach, FL metro area"
0.982153959,0.00%,0.50%,4815,-17.00%,7.70%,15036,-14.50%,-32.90%,29,1,-54,$357K,3.80%,5.00%,4320,-36.50%,18.30%,11/30/2015,All Residential,"Boston, MA metro area"
0.964386706,-0.20%,0.10%,7950,-27.40%,4.10%,45226,-8.40%,-2.50%,78,1,-1,$196K,-4.20%,6.80%,8178,-28.00%,-1.00%,11/30/2015,All Residential,"Chicago, IL metro area"
,,,5930,-18.50%,3.70%,17765,-8.20%,1.20%,36,2,-4,$209K,-0.50%,7.20%,6623,-20.00%,14.50%,11/30/2015,All Residential,"Dallas-Fort Worth, TX metro area"
0.969647539,-0.10%,-0.30%,4941,-20.60%,-10.10%,22490,-3.80%,26.00%,39,2,4,$200K,-2.00%,1.80%,6369,-20.30%,4.40%,11/30/2015,All Residential,"Houston, TX metro area"
0.991351149,-0.10%,0.30%,4850,-25.90%,-5.20%,14968,-7.70%,-8.60%,35,1,-4,$500K,1.00%,7.70%,5862,-23.00%,7.40%,11/30/2015,All Residential,"Los Angeles, CA metro area"
0.960637076,-0.30%,0.00%,2576,-16.00%,0.80%,17169,0.40%,-1.60%,64,-4,-5,$225K,-2.60%,5.20%,3893,-14.00%,5.20%,11/30/2015,All Residential,"Miami, FL metro area"
0.970582546,-0.20%,0.50%,2787,-21.00%,-2.30%,12863,-2.70%,-11.10%,56,4,0,$187K,3.30%,12.70%,3488,-14.80%,2.40%,11/30/2015,All Residential,"Orlando, FL metro area"
0.958457364,-0.20%,0.30%,3455,-19.20%,10.80%,18562,-7.30%,-5.40%,63,0,0,$218K,-3.30%,2.50%,3831,-21.40%,17.80%,11/30/2015,All Residential,"Philadelphia, PA metro area"
1.058140229,-1.60%,0.70%,1104,-16.50%,-5.70%,1662,-25.60%,1.60%,22,3,1,"$1,125K",1.80%,13.60%,865,-43.80%,8.40%,11/30/2015,All Residential,"San Francisco, CA metro area"
1.02602608,-0.30%,0.10%,1076,-18.90%,-5.40%,1689,-22.30%,-17.00%,28,3,-2,$840K,1.10%,12.00%,921,-31.50%,13.40%,11/30/2015,All Residential,"San Jose, CA metro area"
1.003341373,-0.10%,1.30%,3178,-22.70%,1.30%,5011,-21.50%,-32.80%,18,3,-13,$405K,0.00%,8.90%,2424,-37.70%,0.20%,11/30/2015,All Residential,"Seattle, WA metro area"
0.984537626,0.00%,0.10%,5513,-13.90%,9.70%,20249,-13.20%,3.60%,42,1,1,$355K,-2.70%,-1.40%,5448,-33.10%,7.80%,11/30/2015,All Residential,"Washington, DC metro area"
0.953628306,-0.30%,-0.10%,2276,-19.70%,-3.40%,13688,3.20%,-3.60%,71,1,-1,$222K,3.30%,12.70%,3436,-15.00%,2.40%,11/30/2015,All Residential,"West Palm Beach, FL metro area"
0.985168611,-0.20%,0.10%,6688,-4.40%,-8.00%,26339,-7.40%,2.40%,78,3,-3,$360K,-2.70%,1.50%,5906,-16.40%,-7.10%,8/31/2014,All Residential,"Boston, MA metro area"
0.970070466,-0.30%,-0.40%,12653,9.70%,-1.70%,52952,-1.20%,6.80%,63,2,-11,$215K,0.00%,10.30%,13392,-12.80%,-3.10%,8/31/2014,All Residential,"Chicago, IL metro area"
,,,8701,-4.30%,-3.30%,21690,-2.00%,-7.70%,31,4,-4,$200K,0.00%,5.80%,9111,-15.90%,-3.80%,8/31/2014,All Residential,"Dallas-Fort Worth, TX metro area"
0.978911335,-0.10%,0.10%,7905,-2.80%,7.10%,19720,-0.20%,-6.60%,22,3,-9,$203K,1.00%,8.60%,8774,-11.10%,2.00%,8/31/2014,All Residential,"Houston, TX metro area"
0.993023706,-0.30%,-1.50%,6508,-4.80%,-15.40%,17588,3.60%,29.10%,23,3,6,$475K,0.80%,8.00%,7902,-9.40%,-8.40%,8/31/2014,All Residential,"Los Angeles, CA metro area"
0.965793313,0.40%,-0.50%,2826,-10.50%,-12.10%,17131,0.70%,,61,1,9,$215K,-4.40%,4.90%,4473,3.50%,,8/31/2014,All Residential,"Miami, FL metro area"
0.970528785,-0.20%,-1.10%,3550,-10.00%,0.20%,14452,2.50%,-7.60%,46,1,-39,$170K,-2.30%,8.30%,4434,-7.80%,7.90%,8/31/2014,All Residential,"Orlando, FL metro area"
0.959808299,-0.30%,0.00%,4743,-0.10%,4.90%,21442,-1.20%,9.00%,43,6,-9,$250K,2.00%,2.40%,4912,-11.10%,5.50%,8/31/2014,All Residential,"Philadelphia, PA metro area"
1.052369599,-1.00%,0.20%,1446,-6.30%,-6.90%,1982,-7.00%,-6.50%,16,1,1,$900K,-1.60%,6.10%,1375,-12.70%,-10.90%,8/31/2014,All Residential,"San Francisco, CA metro area"
1.030792897,-0.40%,-0.40%,1631,-3.30%,-3.50%,2348,-3.00%,6.10%,14,1,1,$750K,0.80%,10.30%,1530,-17.50%,-12.40%,8/31/2014,All Residential,"San Jose, CA metro area"
0.996547559,-0.40%,-0.70%,4139,-6.60%,-5.10%,9662,0.70%,1.80%,18,4,4,$370K,-2.60%,4.20%,4580,-14.00%,-6.50%,8/31/2014,All Residential,"Seattle, WA metro area"
0.986784087,-0.30%,-0.50%,7315,-3.00%,-5.20%,22757,-0.10%,33.70%,27,6,7,$375K,-3.80%,0.00%,7928,-12.60%,-0.60%,8/31/2014,All Residential,"Washington, DC metro area"
0.954816174,0.10%,0.00%,2924,-2.00%,4.40%,13271,-1.20%,8.70%,68,7,-3,$200K,-7.00%,10.70%,3529,1.40%,-4.70%,8/31/2014,All Residential,"West Palm Beach, FL metro area"
0.966650585,-0.20%,0.90%,4439,-32.10%,5.90%,28059,0.90%,-14.10%,105,3,-14,$300K,-6.30%,1.70%,6694,17.90%,-1.40%,9/30/2012,All Residential,"Boston, MA metro area"
0.955306966,0.00%,1.30%,8370,-16.60%,24.80%,55174,-2.40%,-14.90%,97,-1,-19,$163K,-3.80%,1.90%,10657,-10.00%,3.50%,9/30/2012,All Residential,"Chicago, IL metro area"
,,,5920,-22.80%,10.10%,25672,-3.80%,-17.10%,56,5,-24,$169K,-0.30%,10.90%,6820,-17.70%,0.10%,9/30/2012,All Residential,"Dallas-Fort Worth, TX metro area"
0.966548935,-0.20%,0.70%,5014,-22.60%,8.10%,23191,-5.00%,-21.40%,54,3,-21,$165K,-0.70%,6.30%,6039,-17.10%,-3.80%,9/30/2012,All Residential,"Houston, TX metro area"
0.990554134,0.00%,1.30%,6349,-21.40%,0.80%,14606,-8.10%,-51.90%,35,-2,-24,$347K,3.20%,10.20%,6587,-11.30%,-21.00%,9/30/2012,All Residential,"Los Angeles, CA metro area"
0.965179668,0.10%,0.60%,2652,-12.50%,-0.60%,,,,,,,$170K,6.30%,23.60%,,,,9/30/2012,All Residential,"Miami, FL metro area"
0.973621579,0.00%,0.70%,2657,-18.40%,-2.50%,17360,-0.30%,-3.10%,109,-2,-20,$126K,1.60%,10.50%,3416,-9.20%,0.40%,9/30/2012,All Residential,"Orlando, FL metro area"
0.949244933,-0.20%,0.30%,2887,-25.50%,8.40%,21215,0.00%,22.30%,77,6,-39,$223K,-3.00%,1.50%,4466,0.20%,19.70%,9/30/2012,All Residential,"Philadelphia, PA metro area"
1.023052573,0.10%,4.20%,1167,-24.30%,-5.70%,2650,7.90%,-42.20%,18,-1,-20,$714K,1.50%,17.00%,1733,15.60%,-7.90%,9/30/2012,All Residential,"San Francisco, CA metro area"
1.022689048,0.40%,3.50%,1349,-14.50%,-3.00%,1952,-4.00%,-52.50%,13,-1,-20,$580K,-0.90%,23.40%,1461,-8.70%,-9.10%,9/30/2012,All Residential,"San Jose, CA metro area"
0.990728524,0.10%,1.60%,3099,-18.80%,10.70%,9156,-1.90%,-36.80%,28,-3,-28,$313K,0.40%,13.90%,3711,-6.90%,3.90%,9/30/2012,All Residential,"Seattle, WA metro area"
0.982584084,0.00%,0.50%,5199,-24.60%,-1.70%,17416,0.90%,-26.80%,37,3,-11,$334K,-2.70%,7.70%,7007,1.60%,-1.90%,9/30/2012,All Residential,"Washington, DC metro area"
0.951511663,0.50%,0.90%,2510,0.00%,0.40%,13370,-1.60%,-12.30%,85,1,-13,$142K,1.70%,23.80%,2630,-4.50%,-3.00%,9/30/2012,All Residential,"West Palm Beach, FL metro area"
0.968429019,0.20%,1.40%,4515,1.70%,23.60%,26695,-4.90%,-15.00%,106,1,-18,$290K,-3.30%,5.50%,5477,-18.20%,0.70%,10/31/2012,All Residential,"Boston, MA metro area"
0.954366526,-0.10%,1.50%,9529,13.80%,56.50%,52398,-5.00%,-15.90%,103,6,-22,$152K,-6.70%,-0.30%,10650,-0.10%,9.10%,10/31/2012,All Residential,"Chicago, IL metro area"
,,,6147,3.80%,28.10%,24235,-5.60%,-18.10%,56,0,-23,$160K,-5.00%,6.70%,7148,4.80%,6.90%,10/31/2012,All Residential,"Dallas-Fort Worth, TX metro area"
0.96494846,-0.20%,0.60%,5315,6.00%,32.00%,21903,-5.60%,-22.60%,59,5,-21,$164K,-0.50%,9.30%,6379,5.60%,6.10%,10/31/2012,All Residential,"Houston, TX metro area"
0.991170983,0.10%,1.20%,7310,15.10%,23.30%,12970,-11.20%,-55.40%,34,-1,-28,$345K,-0.60%,15.00%,7071,7.30%,-10.20%,10/31/2012,All Residential,"Los Angeles, CA metro area"
0.967280898,0.20%,1.20%,2908,9.70%,22.80%,,,,,,,$160K,-5.90%,17.40%,,,,10/31/2012,All Residential,"Miami, FL metro area"
0.973067784,-0.10%,0.60%,3032,14.10%,16.20%,17172,-1.10%,-3.70%,106,-3,-20,$123K,-2.20%,7.20%,3716,8.80%,9.80%,10/31/2012,All Residential,"Orlando, FL metro area"
0.946134252,-0.30%,0.40%,3061,6.00%,24.80%,20511,-3.30%,10.20%,84,7,-39,$210K,-6.10%,4.20%,4217,-5.60%,12.00%,10/31/2012,All Residential,"Philadelphia, PA metro area"
1.025030241,0.20%,4.20%,1496,28.20%,32.50%,2396,-9.60%,-44.80%,17,-1,-15,$750K,5.10%,19.20%,1461,-15.70%,-1.80%,10/31/2012,All Residential,"San Francisco, CA metro area"
1.022604998,0.00%,3.40%,1462,8.40%,11.90%,1767,-9.50%,-54.50%,14,1,-19,$589K,1.50%,30.00%,1551,6.20%,2.90%,10/31/2012,All Residential,"San Jose, CA metro area"
0.992390105,0.20%,1.80%,3390,9.40%,28.50%,8117,-11.30%,-39.80%,32,4,-25,$309K,-1.50%,20.40%,3247,-12.50%,3.90%,10/31/2012,All Residential,"Seattle, WA metro area"
0.98276473,0.00%,0.80%,5592,7.60%,17.60%,16171,-7.10%,-27.90%,35,-2,-20,$324K,-3.00%,14.90%,6288,-10.30%,1.00%,10/31/2012,All Residential,"Washington, DC metro area"
0.945236236,-0.60%,0.50%,2473,-1.50%,17.10%,13404,0.30%,-13.00%,91,6,-2,$140K,-1.70%,21.70%,3023,14.90%,0.80%,10/31/2012,All Residential,"West Palm Beach, FL metro area"
0.967185626,-0.10%,1.20%,5044,11.70%,35.00%,23216,-13.00%,-17.60%,102,-4,-20,$300K,3.40%,7.10%,3691,-32.60%,-4.80%,11/30/2012,All Residential,"Boston, MA metro area"
0.955322035,0.10%,1.70%,8041,-15.60%,34.80%,48286,-7.80%,-18.50%,103,0,-21,$154K,1.30%,2.70%,8174,-23.20%,-1.90%,11/30/2012,All Residential,"Chicago, IL metro area"
,,,5572,-9.40%,19.80%,22884,-5.60%,-17.90%,58,2,-20,$163K,1.60%,9.40%,6183,-13.50%,8.20%,11/30/2012,All Residential,"Dallas-Fort Worth, TX metro area"
0.965836425,0.10%,0.80%,4978,-6.30%,27.20%,20751,-5.30%,-23.40%,59,0,-24,$169K,3.10%,9.00%,5448,-14.60%,2.60%,11/30/2012,All Residential,"Houston, TX metro area"
0.993861767,0.30%,1.70%,6698,-8.40%,13.60%,11702,-9.80%,-57.70%,31,-3,-32,$350K,1.40%,12.90%,5964,-15.70%,-12.20%,11/30/2012,All Residential,"Los Angeles, CA metro area"
0.968983108,0.20%,1.50%,2672,-8.10%,9.30%,,,,,,,$167K,4.40%,19.30%,,,,11/30/2012,All Residential,"Miami, FL metro area"
0.976550231,0.30%,1.20%,2948,-2.80%,18.00%,16487,-4.00%,-9.10%,107,1,-20,$130K,5.50%,13.00%,3056,-17.80%,-13.60%,11/30/2012,All Residential,"Orlando, FL metro area"
0.945641738,0.00%,0.70%,3096,1.10%,32.40%,18889,-7.90%,-2.20%,80,-4,-42,$212K,1.20%,1.40%,3048,-27.70%,-6.30%,11/30/2012,All Residential,"Philadelphia, PA metro area"
1.029683347,0.50%,4.50%,1373,-8.20%,11.40%,1989,-17.00%,-43.10%,17,0,-18,$751K,0.10%,18.30%,1020,-30.20%,16.80%,11/30/2012,All Residential,"San Francisco, CA metro area"
1.02483132,0.20%,3.50%,1450,-0.80%,9.80%,1362,-22.90%,-59.30%,14,0,-22,$590K,0.30%,26.10%,1041,-32.90%,-15.50%,11/30/2012,All Residential,"San Jose, CA metro area"
0.989376633,-0.30%,1.60%,3152,-7.00%,21.00%,7170,-11.70%,-42.40%,32,0,-31,$320K,3.60%,18.40%,2500,-23.00%,-6.10%,11/30/2012,All Residential,"Seattle, WA metro area"
0.983552089,0.10%,0.70%,5911,5.70%,25.90%,14595,-9.70%,-28.60%,33,-2,-23,$332K,2.50%,12.20%,4877,-22.40%,-0.60%,11/30/2012,All Residential,"Washington, DC metro area"
0.949799963,0.50%,1.10%,2025,-18.10%,-0.70%,13362,-0.30%,-14.40%,78,-13,-20,$140K,0.00%,17.60%,2828,-6.50%,-4.90%,11/30/2012,All Residential,"West Palm Beach, FL metro area"
0.985541722,0.00%,1.50%,7346,6.50%,23.50%,27602,-6.20%,-8.70%,80,2,-15,$355K,0.00%,7.60%,6666,-15.70%,12.90%,7/31/2013,All Residential,"Boston, MA metro area"
0.975054968,0.40%,2.10%,13004,21.80%,40.60%,51086,-1.00%,-13.10%,75,-2,-22,$200K,4.70%,16.30%,14604,-2.90%,18.70%,7/31/2013,All Residential,"Chicago, IL metro area"
,,,9118,5.60%,28.00%,23850,1.40%,-14.40%,34,0,-18,$190K,0.00%,11.80%,10814,2.30%,21.00%,7/31/2013,All Residential,"Dallas-Fort Worth, TX metro area"
0.979081225,0.00%,0.90%,7702,6.80%,22.90%,21077,3.30%,-16.80%,30,0,-22,$190K,-2.40%,11.80%,9514,4.90%,24.50%,7/31/2013,All Residential,"Houston, TX metro area"
1.00990536,-0.20%,1.80%,7352,4.70%,2.60%,13131,10.20%,-25.50%,15,0,-24,$430K,-1.10%,28.40%,9188,7.40%,20.00%,7/31/2013,All Residential,"Los Angeles, CA metro area"
0.97055998,0.10%,0.70%,3295,6.00%,23.30%,,,,46,6,,$197K,-3.00%,23.10%,,,,7/31/2013,All Residential,"Miami, FL metro area"
0.97997545,0.10%,0.90%,3674,12.80%,23.70%,15702,-0.20%,-11.90%,84,-5,-21,$155K,3.40%,24.00%,4193,3.90%,18.00%,7/31/2013,All Residential,"Orlando, FL metro area"
0.963436129,0.20%,1.10%,4766,13.40%,27.00%,20170,0.10%,-8.30%,48,0,-18,$248K,3.60%,6.80%,5188,-2.40%,16.90%,7/31/2013,All Residential,"Philadelphia, PA metro area"
1.057660976,-0.50%,4.00%,1671,6.30%,12.40%,2230,-1.10%,-13.10%,15,1,-2,$848K,-0.30%,18.60%,1730,-0.90%,12.20%,7/31/2013,All Residential,"San Francisco, CA metro area"
1.047648029,-0.80%,2.70%,1687,7.00%,9.50%,2399,18.00%,10.50%,12,1,-2,$710K,0.70%,21.20%,2116,9.20%,28.90%,7/31/2013,All Residential,"San Jose, CA metro area"
1.008374601,0.00%,1.70%,4541,8.40%,26.60%,8998,9.10%,-3.60%,12,0,-17,$363K,3.80%,17.30%,5244,-1.90%,32.40%,7/31/2013,All Residential,"Seattle, WA metro area"
0.993248427,-0.10%,0.80%,7625,-12.00%,21.00%,16708,1.60%,-6.30%,17,3,-12,$385K,-0.80%,6.90%,8583,-4.70%,26.30%,7/31/2013,All Residential,"Washington, DC metro area"
0.954583989,0.20%,0.70%,3176,-6.90%,29.80%,12060,-3.30%,-13.10%,78,-2,-6,$179K,0.70%,29.20%,3432,10.10%,24.70%,7/31/2013,All Residential,"West Palm Beach, FL metro area"
0.966161208,-0.10%,1.20%,4672,-7.40%,11.40%,19278,-17.00%,-20.10%,105,3,-22,$307K,2.20%,9.90%,2305,-37.60%,-16.50%,12/31/2012,All Residential,"Boston, MA metro area"
0.955143906,0.00%,1.60%,8125,1.00%,20.60%,43759,-9.40%,-19.60%,104,1,-23,$150K,-2.60%,3.40%,6561,-19.70%,2.40%,12/31/2012,All Residential,"Chicago, IL metro area"
,,,5600,0.50%,12.70%,20451,-10.60%,-17.60%,58,0,-24,$170K,4.60%,9.00%,4638,-25.00%,3.50%,12/31/2012,All Residential,"Dallas-Fort Worth, TX metro area"
0.964899835,-0.10%,0.60%,5134,3.10%,12.80%,19161,-7.70%,-23.20%,65,6,-19,$173K,2.40%,7.90%,4197,-23.00%,-2.40%,12/31/2012,All Residential,"Houston, TX metro area"
0.991682647,-0.20%,1.60%,7441,11.10%,13.20%,9848,-15.80%,-60.80%,29,-2,-36,$352K,0.60%,15.40%,4270,-28.40%,-22.20%,12/31/2012,All Residential,"Los Angeles, CA metro area"
0.962781661,-0.60%,0.90%,2916,9.10%,13.80%,,,,,,,$180K,7.80%,23.90%,,,,12/31/2012,All Residential,"Miami, FL metro area"
0.972820336,-0.40%,1.00%,3000,1.80%,8.00%,15183,-7.90%,-13.00%,112,5,-10,$133K,2.30%,15.70%,2413,-21.00%,-17.40%,12/31/2012,All Residential,"Orlando, FL metro area"
0.948435992,0.30%,0.60%,3032,-2.10%,14.50%,17182,-9.00%,-10.10%,75,-5,-51,$212K,0.00%,3.90%,2235,-26.70%,-9.50%,12/31/2012,All Residential,"Philadelphia, PA metro area"
1.021810869,-0.80%,3.70%,1249,-9.00%,0.80%,1366,-31.30%,-50.30%,20,3,-23,$750K,-0.10%,29.30%,541,-47.00%,-16.90%,12/31/2012,All Residential,"San Francisco, CA metro area"
1.028492031,0.40%,4.20%,1382,-4.70%,-0.30%,1005,-26.20%,-62.90%,13,-1,-24,$585K,-0.80%,30.10%,653,-37.30%,-27.20%,12/31/2012,All Residential,"San Jose, CA metro area"
0.989476782,0.00%,1.40%,3116,-1.10%,14.00%,6427,-10.40%,-42.50%,38,6,-31,$310K,-3.00%,17.00%,1797,-28.10%,-5.70%,12/31/2012,All Residential,"Seattle, WA metro area"
0.983238061,0.00%,0.90%,5324,-9.90%,3.10%,12836,-12.10%,-28.60%,38,5,-20,$331K,-0.20%,11.00%,3613,-25.90%,-3.30%,12/31/2012,All Residential,"Washington, DC metro area"
0.941201442,-0.90%,0.20%,2297,13.40%,6.80%,12907,-3.40%,-15.80%,84,6,-10,$150K,7.10%,24.20%,2346,-17.00%,-6.80%,12/31/2012,All Residential,"West Palm Beach, FL metro area"
0.980358431,-0.20%,0.50%,5921,23.00%,14.60%,12117,-19.40%,-31.10%,32,3,-58,$350K,-1.90%,1.40%,2829,-34.50%,12.00%,12/31/2015,All Residential,"Boston, MA metro area"
0.963168019,-0.10%,0.10%,9034,13.60%,0.00%,39088,-13.60%,-4.60%,85,7,3,$200K,1.80%,8.10%,6075,-25.70%,-7.40%,12/31/2015,All Residential,"Chicago, IL metro area"
,,,7738,30.50%,12.60%,15261,-14.10%,-0.10%,39,3,-2,$217K,3.80%,8.50%,5184,-21.70%,7.40%,12/31/2015,All Residential,"Dallas-Fort Worth, TX metro area"
0.968292155,-0.10%,-0.50%,6669,35.00%,-3.70%,21071,-6.30%,25.70%,44,5,8,$217K,8.30%,3.10%,5239,-17.70%,1.00%,12/31/2015,All Residential,"Houston, TX metro area"
0.99008784,-0.10%,0.30%,6670,37.50%,9.80%,12640,-15.60%,-9.00%,37,2,-6,$508K,1.50%,9.10%,4359,-25.60%,1.30%,12/31/2015,All Residential,"Los Angeles, CA metro area"
0.957849432,-0.30%,-0.40%,2983,15.80%,-9.30%,17201,0.20%,-1.10%,62,-2,-8,$245K,8.90%,12.40%,3523,-9.50%,-2.80%,12/31/2015,All Residential,"Miami, FL metro area"
0.969743518,-0.10%,0.40%,3610,29.50%,1.40%,12202,-5.10%,-12.20%,55,-1,-7,$185K,-1.00%,11.20%,3093,-11.30%,-0.90%,12/31/2015,All Residential,"Orlando, FL metro area"
0.958835526,0.00%,0.30%,3975,15.10%,4.10%,16474,-11.20%,-6.70%,64,1,-5,$220K,1.10%,0.00%,2813,-26.60%,6.90%,12/31/2015,All Residential,"Philadelphia, PA metro area"
1.047757544,-1.00%,1.00%,1243,12.60%,15.40%,1054,-36.60%,0.40%,27,5,0,"$1,050K",-6.70%,14.80%,427,-50.60%,1.40%,12/31/2015,All Residential,"San Francisco, CA metro area"
1.022988486,-0.30%,0.50%,1357,26.10%,17.10%,1112,-34.20%,-14.70%,34,6,-4,$820K,-2.40%,14.40%,568,-38.30%,4.00%,12/31/2015,All Residential,"San Jose, CA metro area"
1.000216671,-0.30%,0.90%,3867,21.70%,12.30%,4094,-18.30%,-35.30%,24,6,-14,$401K,-1.10%,8.30%,1870,-22.90%,3.80%,12/31/2015,All Residential,"Seattle, WA metro area"
0.984580394,0.00%,0.10%,7187,30.40%,12.30%,17209,-15.00%,1.10%,48,6,-1,$363K,2.40%,-1.80%,4400,-19.20%,7.20%,12/31/2015,All Residential,"Washington, DC metro area"
0.95318981,0.00%,0.30%,3019,32.60%,1.60%,13386,-2.20%,-4.20%,69,-2,-2,$228K,2.70%,11.20%,3009,-12.40%,-5.70%,12/31/2015,All Residential,"West Palm Beach, FL metro area"
0.97939237,-0.60%,0.00%,5110,-23.60%,-4.90%,26591,1.00%,1.30%,85,7,-2,$335K,-6.90%,1.50%,7451,26.20%,-0.10%,9/30/2014,All Residential,"Boston, MA metro area"
0.967469549,-0.30%,-0.60%,8509,-32.80%,-19.30%,52682,-0.50%,7.60%,69,6,-6,$198K,-7.90%,6.50%,13036,-2.70%,6.20%,9/30/2014,All Residential,"Chicago, IL metro area"
,,,7547,-13.30%,5.40%,20287,-6.50%,-9.10%,35,4,-5,$193K,-3.70%,7.00%,7708,-15.40%,3.20%,9/30/2014,All Residential,"Dallas-Fort Worth, TX metro area"
0.976534096,-0.20%,0.10%,6903,-12.70%,7.50%,19028,-3.50%,-8.20%,27,5,-9,$196K,-3.40%,8.30%,7410,-15.50%,3.60%,9/30/2014,All Residential,"Houston, TX metro area"
0.991670881,-0.10%,-1.30%,5938,-8.80%,-4.00%,18205,3.50%,25.70%,30,7,11,$470K,-1.10%,8.00%,7700,-2.60%,-3.30%,9/30/2014,All Residential,"Los Angeles, CA metro area"
0.967454642,0.20%,-0.30%,2477,-12.30%,-15.50%,17199,0.40%,,65,4,11,$220K,2.30%,6.30%,4340,-3.00%,,9/30/2014,All Residential,"Miami, FL metro area"
0.96695958,-0.40%,-1.00%,2919,-17.80%,-4.30%,14641,1.30%,-7.70%,52,6,-34,$169K,-0.60%,7.00%,4292,-3.20%,12.60%,9/30/2014,All Residential,"Orlando, FL metro area"
0.953763501,-0.60%,-0.50%,3318,-30.00%,-12.20%,21884,2.10%,8.10%,56,13,-3,$219K,-12.40%,-1.80%,5544,12.90%,8.90%,9/30/2014,All Residential,"Philadelphia, PA metro area"
1.048646311,-0.40%,0.20%,1219,-15.70%,-1.50%,2391,20.60%,-3.00%,17,1,1,$930K,3.30%,12.70%,1843,34.00%,-5.00%,9/30/2014,All Residential,"San Francisco, CA metro area"
1.02712495,-0.40%,0.10%,1105,-32.30%,-23.30%,2801,19.30%,23.60%,15,1,0,$720K,-4.00%,6.90%,1578,3.10%,-5.50%,9/30/2014,All Residential,"San Jose, CA metro area"
0.99442038,-0.20%,-0.60%,3765,-9.00%,0.70%,9492,-1.80%,-1.70%,21,3,4,$380K,2.70%,7.90%,4252,-7.20%,-0.40%,9/30/2014,All Residential,"Seattle, WA metro area"
0.985837983,-0.10%,-0.50%,5552,-24.10%,-10.10%,23383,2.80%,28.90%,34,7,10,$360K,-4.00%,2.20%,8460,6.70%,2.90%,9/30/2014,All Residential,"Washington, DC metro area"
0.95529129,0.00%,-0.50%,2420,-17.20%,-3.50%,13525,1.90%,7.20%,69,1,2,$195K,-2.50%,11.40%,3699,4.80%,5.10%,9/30/2014,All Residential,"West Palm Beach, FL metro area"
0.966288566,0.00%,1.40%,3345,-28.40%,18.60%,19422,0.70%,-20.90%,119,14,-13,$284K,-7.30%,5.60%,4812,108.80%,-2.50%,1/31/2013,All Residential,"Boston, MA metro area"
0.955511654,0.00%,1.40%,8102,-0.30%,34.90%,44508,1.70%,-18.40%,105,1,-19,$145K,-3.30%,5.10%,11209,70.80%,12.60%,1/31/2013,All Residential,"Chicago, IL metro area"
,,,4625,-17.40%,23.70%,20911,2.20%,-17.30%,61,3,-21,$157K,-7.70%,5.10%,7668,65.30%,4.10%,1/31/2013,All Residential,"Dallas-Fort Worth, TX metro area"
0.965907247,0.10%,0.80%,3903,-24.00%,28.60%,19190,0.20%,-22.50%,62,-3,-21,$153K,-11.60%,9.30%,6827,62.70%,4.20%,1/31/2013,All Residential,"Houston, TX metro area"
